,Z_Rejon,POI,Do_Rejon,Czas_PrT_x,Czas_PuT_x,Czas_PrT_y,Czas_PuT_y
7302,17.0,13.0,7.0,81.8870754312428,89.9281125838477,82.39488086026343,91.15611258384772
7303,17.0,13.0,8.0,81.8870754312428,89.9281125838477,82.37483343189075,91.53411258384772
7304,17.0,13.0,9.0,81.8870754312428,89.9281125838477,82.81282269623665,91.04811258384771
7305,17.0,13.0,10.0,81.8870754312428,89.9281125838477,81.24666007511604,89.5561125838477
7306,17.0,13.0,11.0,81.8870754312428,89.9281125838477,82.82015506269279,90.88011258384772
7307,17.0,13.0,12.0,81.8870754312428,89.9281125838477,82.48166685571556,91.40911258384772
7308,17.0,13.0,13.0,81.8870754312428,89.9281125838477,82.05604708619197,90.13611258384772
7309,17.0,13.0,14.0,81.8870754312428,89.9281125838477,82.10372513551035,90.12511258384771
7310,17.0,13.0,15.0,81.8870754312428,89.9281125838477,81.0848666621005,89.58611258384771
7311,17.0,13.0,16.0,81.8870754312428,89.9281125838477,81.08667055182009,88.79511258384774
7312,17.0,13.0,17.0,81.8870754312428,89.9281125838477,81.89244170960009,89.9251125838477
7313,17.0,13.0,18.0,81.8870754312428,89.9281125838477,81.22296885151775,89.2361125838477
7314,17.0,13.0,19.0,81.8870754312428,89.9281125838477,81.20582150379825,89.05411258384773
7315,17.0,13.0,20.0,81.8870754312428,89.9281125838477,84.13249140357074,86.37111258384772
7316,17.0,13.0,21.0,81.8870754312428,89.9281125838477,81.78143546228026,92.14011258384771
7317,17.0,13.0,22.0,81.8870754312428,89.9281125838477,79.70151144894761,87.8701125838477
7318,17.0,13.0,23.0,81.8870754312428,89.9281125838477,79.611857072319,87.32111258384771
7319,17.0,13.0,24.0,81.8870754312428,89.9281125838477,79.1331250700565,86.84411258384772
7320,18.0,13.0,1.0,81.22296885151775,89.2421125838477,80.48905595580364,89.45711258384772
7321,18.0,13.0,2.0,81.22296885151775,89.2421125838477,80.05546140426011,88.31511258384771
7322,18.0,13.0,3.0,81.22296885151775,89.2421125838477,79.63230520365514,87.34111258384772
7323,18.0,13.0,4.0,81.22296885151775,89.2421125838477,79.79717157895325,87.50511258384772
7324,18.0,13.0,5.0,81.22296885151775,89.2421125838477,81.65554720728056,91.45411258384772
7325,18.0,13.0,6.0,81.22296885151775,89.2421125838477,79.95825718437133,87.66911258384772
7326,18.0,13.0,7.0,81.22296885151775,89.2421125838477,82.39488086026343,91.15611258384772
7327,18.0,13.0,8.0,81.22296885151775,89.2421125838477,82.37483343189075,91.53411258384772
7328,18.0,13.0,9.0,81.22296885151775,89.2421125838477,82.81282269623665,91.04811258384771
7329,18.0,13.0,10.0,81.22296885151775,89.2421125838477,81.24666007511604,89.5561125838477
7330,18.0,13.0,11.0,81.22296885151775,89.2421125838477,82.82015506269279,90.88011258384772
7331,18.0,13.0,12.0,81.22296885151775,89.2421125838477,82.48166685571556,91.40911258384772
7332,18.0,13.0,13.0,81.22296885151775,89.2421125838477,82.05604708619197,90.13611258384772
